isbn,match
9782711857319,True
9782754106207,True
1588390721,True
9782842782177,True
9782855394237,True
2855394236,True
088029177X,True
9785938930506,True
9781891771255,True
9780910407397,True
9780939117673,True
9780911886535,True
0299970701,True
0810929384,True
9789748225302,True
9780761816713,True
9780140443486,True
9780140443066,True
9780192835765,True
0942614186,True
9780195659122,True
8190014900,True
0773478531,True
2720010316,True
9780862671501,True
9782070532551,True
376302011X,True
8121507235,True
9783869221878,True
9780520224667,True
0932216285,True
7800070433,True
7226QQ4976,False
7226004976,True
3201016780,True
9780553370904,True
0877733546,True
9782711823642,True
2855397359,True
9781851774296,True
7560710077,True
9787228032488,True
9782220026299,True
9780714121802,True
9780813380650,True
9780810981034,True
067040697X,True
9781904832164,True
9780907849520,True
9780521533386,True
9789748225302,True
9748434575,True
0500690014,True
9780811800402,True
3761106262,True
9782842782177,True
0520050614,True
9780252071218,True
0810906813,True
9781570621864,True
9780500275160,True
9782080113603,True
029596815X,True
0934686505,True
0674795903,True
9781588861146,True
9780860787662,True
0860788849,True
