"bsn","isbn","bsn-normalized","isbnnormalized"
18953,9772350777,18953,"0009772350777"
18953,9789772350773,18953,"9789772350773"
19992,405022522,19992,"0000405022522"
19992,9780405022524,19992,"9780405022524"
20045,3515025405,20045,"0003515025405"
20045,9783515025409,20045,"9783515025409"
20276,2724702182,20276,"0002724702182"
20276,27247021901,20276,"0027247021901"
20276,27247022042,20276,"0027247022042"
20276,9782724702187,20276,"9782724702187"
20276,97827247021941,20276,"97827247021941"
20276,97827247022002,20276,"97827247022002"
20296,707302676,20296,"0000707302676"
20406,3447014539,20406,"0003447014539"
20406,9783447014533,20406,"9783447014533"
21751,500050880,21751,"0000500050880"
22634,"085698177X",22634,"085698177X"
22634,978085698177,22634,"0978085698177"
22634,9780856981777,22634,"9780856981777"
22668,"344705591X1",22668,"344705591X1"
22668,"344706742X2",22668,"344706742X2"
22668,97834470559181,22668,"97834470559181"
22668,97834470674232,22668,"97834470674232"
23038,9783700137870,23038,"9783700137870"
23124,9783700136026,23124,"9783700136026"
23488,3703001186,23488,"0003703001186"
23488,9783703001185,23488,"9783703001185"
23576,"380530319X",23576,"380530319X"
23576,9783805303194,23576,"9783805303194"
23619,3774918368,23619,"0003774918368"
23619,3774918376,23619,"0003774918376"
23619,9783774918368,23619,"9783774918368"
23628,3531099132,23628,"0003531099132"
23628,9783531099132,23628,"9783531099132"
23766,2724700015,23766,"0002724700015"
23766,27247000231,23766,"0027247000231"
23766,27247000312,23766,"0027247000312"
23766,"272470004X3",23766,"272470004X3"
23766,27247000584,23766,"0027247000584"
23766,2724700554111,23766,"2724700554111"
23766,2724700562112,23766,"2724700562112"
23766,9782724700015,23766,"9782724700015"
23795,912532211,23795,"0000912532211"
23795,9780912532219,23795,"9780912532219"
24044,9783700139645,24044,"9783700139645"
24499,1885923449,24499,"0001885923449"
24499,9781885923448,24499,"9781885923448"
25275,3515036733,25275,"0003515036733"
25275,9783515036733,25275,"9783515036733"
25294,3806781230,25294,"0003806781230"
25294,9783806781236,25294,"9783806781236"
25454,3763020004,25454,"0003763020004"
25454,9783763020003,25454,"9783763020003"
25627,2856203175,25627,"0002856203175"
25857,"052170023X",25857,"052170023X"
25857,"052187677X",25857,"052187677X"
25857,9780521700238,25857,"9780521700238"
25857,9780521876773,25857,"9780521876773"
25885,500810249,25885,"0000500810249"
26051,226034127,26051,"0000226034127"
26355,3447055928,26355,"0003447055928"
26355,9783447055925,26355,"9783447055925"
26363,674241525,26363,"0000674241525"
26363,9780674241527,26363,"9780674241527"
26470,140204628,26470,"0000140204628"
26470,9780140204629,26470,"9780140204629"
26498,415070295,26498,"0000415070295"
26498,415070309,26498,"0000415070309"
26498,9780415070294,26498,"9780415070294"
26498,9780415070300,26498,"9780415070300"
27004,9654062011,27004,"0009654062011"
27004,9789654062015,27004,"9789654062015"
27073,9654062011,27073,"0009654062011"
27073,9789654062015,27073,"9789654062015"
27164,895580942,27164,"0000895580942"
27164,9780895580948,27164,"9780895580948"
27256,9783700137801,27256,"9783700137801"
28053,861591194,28053,"0000861591194"
28053,9780861591190,28053,"9780861591190"
28469,3870300132,28469,"0003870300132"
28469,9783870300135,28469,"9783870300135"
28484,297852949,28484,"0000297852949"
28484,9780297852940,28484,"9780297852940"
28545,1885923414,28545,"0001885923414"
28545,9781885923417,28545,"9781885923417"
28833,3805314809,28833,"0003805314809"
28833,9783805314800,28833,"9783805314800"
28939,3829850077,28939,"0003829850077"
28939,9783829850070,28939,"9783829850070"
29106,8861303463,29106,"0008861303463"
29106,9788861303461,29106,"9788861303461"
29442,753812789,29442,"0000753812789"
29442,9780753812785,29442,"9780753812785"
29528,707802253,29528,"0000707802253"
29528,9780707802251,29528,"9780707802251"
29801,861590325,29801,"0000861590325"
29801,9780861590322,29801,"9780861590322"
29918,2724700732,29918,"0002724700732"
29918,27247007401,29918,"0027247007401"
29918,27247007592,29918,"0027247007592"
29918,9782724700732,29918,"9782724700732"
29918,97827247007491,29918,"97827247007491"
29918,97827247007562,29918,"97827247007562"
29985,861590775,29985,"0000861590775"
29985,9780861590773,29985,"9780861590773"
30008,861591127,30008,"0000861591127"
30008,9780861591121,30008,"9780861591121"
30043,861590341,30043,"0000861590341"
30043,9780861590346,30043,"9780861590346"
30183,920168124,30183,"0000920168124"
30183,9780920168127,30183,"9780920168127"
30244,870995650,30244,"0000870995650"
30244,9780870995651,30244,"9780870995651"
30271,890052719,30271,"0000890052719"
30271,9780890052716,30271,"9780890052716"
30676,9781934309001,30676,"9781934309001"
30862,1931534233,30862,"0001931534233"
30862,9781931534239,30862,"9781931534239"
30863,"093317506X",30863,"093317506X"
30863,9780933175068,30863,"9780933175068"
31158,933175361,31158,"0000933175361"
31158,9780933175365,31158,"9780933175365"
31427,"965278205X",31427,"965278205X"
31427,9789652782052,31427,"9789652782052"
31489,2951209207,31489,"0002951209207"
31489,9782951209206,31489,"9782951209206"
31903,8880520008,31903,"0008880520008"
31903,9788880520009,31903,"9788880520009"
31976,2724701135,31976,"0002724701135"
31976,9782724701135,31976,"9782724701135"
32070,2865090361,32070,"0002865090361"
32070,9782865090365,32070,"9782865090365"
32222,"271183686X",32222,"271183686X"
32222,9782711836864,32222,"9782711836864"
32224,2724701437,32224,"0002724701437"
32224,9782724701432,32224,"9782724701432"
32253,8880520016,32253,"0008880520016"
32253,9788880520016,32253,"9788880520016"
32313,2872680047,32313,"0002872680047"
32313,9782872680047,32313,"9782872680047"
32417,2724704681,32417,"0002724704681"
32417,9782724704686,32417,"9782724704686"
32425,847801594,32425,"0000847801594"
32425,847801616,32425,"0000847801616"
32425,9780847801596,32425,"9780847801596"
32425,9780847801619,32425,"9780847801619"
32583,933175426,32583,"0000933175426"
32583,9780933175426,32583,"9780933175426"
32626,861590929,32626,"0000861590929"
32626,9780861590926,32626,"9780861590926"
32692,933175159,32692,"0000933175159"
32692,9780933175150,32692,"9780933175150"
32701,933175256,32701,"0000933175256"
32701,9780933175259,32701,"9780933175259"
32732,933175213,32732,"0000933175213"
32732,9780933175211,32732,"9780933175211"
32876,3700135270,32876,"0003700135270"
32876,9783700135272,32876,"9783700135272"
32922,"917155484X",32922,"917155484X"
32922,9789171554840,32922,"9789171554840"
32951,7501006245,32951,"0007501006245"
32951,9787501006243,32951,"9787501006243"
32988,"962321023X",32988,"962321023X"
32988,9789623210232,32988,"9789623210232"
32990,918986435,32990,"0000918986435"
32990,9780918986436,32990,"9780918986436"
33003,856981729,33003,"0000856981729"
33003,9780856981722,33003,"9780856981722"
33151,500273456,33151,"0000500273456"
33151,9780500273456,33151,"9780500273456"
33451,8843560425,33451,"0008843560425"
33451,9788843560424,33451,"9788843560424"
33504,91850479,33504,"0000091850479"
33504,9780091850470,33504,"9780091850470"
33524,872730700,33524,"0000872730700"
33524,9780872730700,33524,"9780872730700"
33812,856981494,33812,"0000856981494"
33812,9780856981494,33812,"9780856981494"
33835,36010053361933,33835,"36010053361933"
33835,3601005468,33835,"0003601005468"
33835,3601005476,33835,"0003601005476"
33937,921428006,33937,"0000921428006"
33937,9780921428008,33937,"9780921428008"
33965,876619626,33965,"0000876619626"
33965,9780876619629,33965,"9780876619629"
33966,"095148060x",33966,"095148060x"
34136,"089005004X",34136,"089005004X"
34136,9780890050040,34136,"9780890050040"
34364,691021244,34364,"0000691021244"
34364,9780691021249,34364,"9780691021249"
34467,2940011060,34467,"0002940011060"
34467,9782940011063,34467,"9782940011063"
34489,856682152,34489,"0000856682152"
34489,9780856682155,34489,"9780856682155"
34561,3775704302,34561,"0003775704302"
34647,61850470634,34647,"0061850470634"
34647,96081455701,34647,"0096081455701"
34647,96081457242,34647,"0096081457242"
34647,96081459453,34647,"0096081459453"
34647,97861850470614,34647,"97861850470614"
34647,97896081455731,34647,"97896081455731"
34647,97896081457262,34647,"97896081457262"
34647,97896081459483,34647,"97896081459483"
35759,"389500586X1",35759,"389500586X1"
35759,97838950058621,35759,"97838950058621"
36320,907015999,36320,"0000907015999"
36320,9780907015994,36320,"9780907015994"
36456,8709919061,36456,"0008709919061"
36456,8709919142,36456,"0008709919142"
36727,714109754,36727,"0000714109754"
36727,9780714109756,36727,"9780714109756"
37349,714109797,37349,"0000714109797"
37349,9780714109794,37349,"9780714109794"
37364,9004160922,37364,"0009004160922"
37364,9789004160927,37364,"9789004160927"
37507,710009828,37507,"0000710009828"
37638,714120642,37638,"0000714120642"
37638,9780714120645,37638,"9780714120645"
37745,415012813,37745,"0000415012813"
37745,415063469,37745,"0000415063469"
39922,9655266017,39922,"0009655266017"
40005,8883460464,40005,"0008883460464"
40116,8190018450,40116,"0008190018450"
41057,9170421676,41057,"0009170421676"
41950,3860053051,41950,"0003860053051"
42317,9042913908,42317,"0009042913908"
43492,8923678735,43492,"0008923678735"
43492,8923678811,43492,"0008923678811"
43492,"089236789X2",43492,"089236789X2"
43492,8923679033,43492,"0008923679033"
43492,8923679114,43492,"0008923679114"
43492,"089236792X5",43492,"089236792X5"
43492,"0892367938x",43492,"0892367938x"
43492,97808923678708,43492,"97808923678708"
43492,97816060607356,43492,"97816060607356"
43492,97816060607427,43492,"97816060607427"
43492,97816060610228,43492,"97816060610228"
43505,8772889640,43505,"0008772889640"
43515,8882652459,43515,"0008882652459"
44561,3447050586,44561,"0003447050586"
45081,38512421301,45081,"0038512421301"
45081,38512421812,45081,"0038512421812"
46309,2903824436,46309,"0002903824436"
47075,1931745013,47075,"0001931745013"
48191,3786124035,48191,"0003786124035"
48594,3805326033,48594,"0003805326033"
52040,18998281091,52040,"0018998281091"
52040,18998281172,52040,"0018998281172"
52040,18998286053,52040,"0018998286053"
52040,18998286134,52040,"0018998286134"
52098,8843031953,52098,"0008843031953"
52145,2503521681,52145,"0002503521681"
54714,710307586,54714,"0000710307586"
61538,9963422403,61538,"0009963422403"
61666,9053567054,61666,"0009053567054"
61880,35987303068,61880,"0035987303068"
61880,359873043811,61880,"0359873043811"
61880,97831102145984,61880,"97831102145984"
61899,75325301401,61899,"0075325301401"
61899,75325331072,61899,"0075325331072"
61899,75325363783,61899,"0075325363783"
63830,674046269,63830,"0000674046269"
64309,9170421706,64309,"0009170421706"
64834,1883053765,64834,"0001883053765"
66042,827603282,66042,"0000827603282"
66475,748617558,66475,"0000748617558"
66475,748617566,66475,"0000748617566"
66941,1883053838,66941,"0001883053838"
68288,38298006731,68288,"0038298006731"
68288,38298006812,68288,"0038298006812"
68288,"382980069X3",68288,"382980069X3"
68288,38298007034,68288,"0038298007034"
68288,38298007115,68288,"0038298007115"
68288,"382980072X",68288,"382980072X"
68759,198141998,68759,"0000198141998"
68799,91740233141,68799,"0091740233141"
68799,91740233222,68799,"0091740233222"
69331,78062278141,69331,"0078062278141"
69331,78067821332,69331,"0078067821332"
69331,97878062278171,69331,"97878062278171"
69331,97878067821332,69331,"97878067821332"
69608,9654061732,69608,"0009654061732"
69608,9789654061735,69608,"9789654061735"
70118,3700131763,70118,"0003700131763"
70248,2728306923,70248,"0002728306923"
71280,316781754,71280,"0000316781754"
75197,1904768032,75197,"0001904768032"
76115,199265453,76115,"0000199265453"
76146,7532612732,76146,"0007532612732"
76146,9787532612734,76146,"9787532612734"
76186,7532612589,76186,"0007532612589"
76186,9787532612581,76186,"9787532612581"
76190,7532612767,76190,"0007532612767"
76190,9787532612765,76190,"9787532612765"
76421,631232931,76421,"0000631232931"
76477,8185026599,76477,"0008185026599"
79831,8872281652,79831,"0008872281652"
79831,9788872281659,79831,"9788872281659"
80841,891305602,80841,"0000891305602"
81839,7501015279,81839,"0007501015279"
81839,9787501015276,81839,"9787501015276"
83598,9783438051240,83598,"9783438051240"
84085,415512956,84085,"0000415512956"
84085,415972175,84085,"0000415972175"
84085,9780415512954,84085,"9780415512954"
84085,9780415972178,84085,"9780415972178"
84566,8877863552,84566,"0008877863552"
85661,6749961351,85661,"0006749961351"
88360,7501012407,88360,"0007501012407"
88360,9787501012404,88360,"9787501012404"
88389,"260000937X",88389,"260000937X"
88821,9062583121,88821,"0009062583121"
88821,9789062583126,88821,"9789062583126"
89442,7506012812,89442,"0007506012812"
89442,9787506012812,89442,"9787506012812"
89505,7501011893,89505,"0007501011893"
90294,893814679,90294,"0000893814679"
90465,9654061546,90465,"0009654061546"
92181,300107978,92181,"0000300107978"
